"","voted_for","ABC","CBS","NBC","CNN","Fox_News","MSNBC","PBS","Other","TV_type","Party","voted_for_binary"
"1","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"2","Biden","No","No","No","Yes","Yes","No","No","No","Both","Democrat",1
"3","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"4","Biden","No","Yes","No","Yes","No","Yes","No","No","Both","Democrat",1
"5","Trump","No","No","Yes","No","Yes","No","No","No","Both","Republican",0
"6","Biden","No","No","Yes","No","No","No","No","No","Both","Other",1
"7","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"8","Biden","Yes","No","No","No","No","No","No","No","National Newscast","Democrat",1
"9","Trump","No","No","Yes","No","Yes","No","No","No","Both","Republican",0
"10","Biden","No","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"11","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"12","Biden","No","Yes","No","No","No","No","No","No","Both","Other",1
"13","Biden","No","No","Yes","Yes","No","Yes","No","No","National Newscast","Democrat",1
"14","Biden","No","No","Yes","Yes","No","No","Yes","No","Both","Democrat",1
"15","Trump","No","No","No","No","Yes","No","No","Yes","Both","Republican",0
"16","Trump","No","Yes","No","No","Yes","No","No","No","Both","Republican",0
"17","Biden","Yes","No","No","Yes","No","Yes","No","No","Both","Democrat",1
"18","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"19","Biden","Yes","Yes","Yes","No","No","No","No","No","Both","Democrat",1
"20","Biden","No","No","No","No","No","No","No","Yes","National Newscast","Democrat",1
"21","Biden","No","Yes","Yes","Yes","Yes","Yes","No","No","Both","Independent",1
"22","Trump","No","No","Yes","No","Yes","No","No","No","Both","Republican",0
"23","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"24","Trump","No","No","No","No","Yes","No","No","Yes","Both","Independent",0
"25","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"26","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Both","Independent",1
"27","Trump","No","No","No","No","No","No","No","Yes","National Newscast","Republican",0
"28","Trump","Yes","Yes","No","Yes","Yes","No","No","No","Both","Republican",0
"29","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Independent",1
"30","Trump","No","No","Yes","No","Yes","No","No","No","Both","Other",0
"31","Biden","No","No","Yes","No","No","No","No","No","National Newscast","Independent",1
"32","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"33","Biden","Yes","Yes","Yes","No","No","No","Yes","No","Both","Democrat",1
"34","Biden","No","No","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"35","Biden","No","No","Yes","Yes","No","No","No","Yes","Both","Democrat",1
"36","Trump","No","No","Yes","No","Yes","No","No","No","Both","Republican",0
"37","Trump","No","No","No","No","Yes","No","Yes","Yes","National Newscast","Independent",0
"38","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"39","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Independent",1
"40","Trump","Yes","No","No","Yes","Yes","No","No","No","Both","Independent",0
"41","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"42","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"43","Biden","No","Yes","No","Yes","No","Yes","Yes","No","Both","Democrat",1
"44","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"45","Biden","No","No","Yes","No","No","No","No","No","Both","Democrat",1
"46","Trump","No","No","Yes","No","Yes","No","No","No","National Newscast","Independent",0
"47","Biden","No","No","No","Yes","No","No","No","No","Both","Democrat",1
"48","Trump","No","No","Yes","No","Yes","No","No","No","Both","Republican",0
"49","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"50","Biden","No","No","No","Yes","No","No","Yes","No","Both","Democrat",1
"51","Biden","Yes","No","No","Yes","No","Yes","No","No","Both","Democrat",1
"52","Trump","Yes","No","No","No","Yes","Yes","No","No","Both","Republican",0
"53","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Both","Democrat",1
"54","Biden","Yes","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"55","Biden","No","No","Yes","No","No","No","Yes","No","Both","Independent",1
"56","Biden","No","Yes","No","No","No","Yes","No","No","Both","Democrat",1
"57","Biden","Yes","No","No","Yes","No","No","Yes","No","National Newscast","Democrat",1
"58","Biden","No","No","No","Yes","No","Yes","Yes","No","Both","Democrat",1
"59","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"60","Biden","No","No","Yes","No","No","Yes","No","No","Both","Independent",1
"61","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"62","Biden","Yes","No","No","No","No","No","No","No","Both","Democrat",1
"63","Trump","Yes","No","No","No","Yes","Yes","No","No","Both","Republican",0
"64","Trump","Yes","Yes","Yes","No","Yes","No","No","No","Both","Republican",0
"65","Biden","No","No","No","Yes","Yes","No","No","No","Both","Democrat",1
"66","Biden","No","No","Yes","No","No","No","No","No","Both","Democrat",1
"67","Biden","Yes","Yes","Yes","Yes","No","No","No","No","Both","Democrat",1
"68","Trump","No","Yes","Yes","No","Yes","No","No","No","Both","Republican",0
"69","Biden","No","Yes","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"70","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"71","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"72","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"73","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Independent",1
"74","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"75","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"76","Biden","Yes","No","No","Yes","No","No","No","No","Both","Democrat",1
"77","Trump","No","No","Yes","Yes","No","No","No","No","Both","Republican",0
"78","Biden","No","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"79","Trump","Yes","No","No","No","No","No","No","No","Both","Democrat",0
"80","Trump","No","Yes","No","No","No","No","No","No","Both","Republican",0
"81","Biden","No","No","Yes","No","No","Yes","No","No","Both","Democrat",1
"82","Trump","Yes","Yes","Yes","No","Yes","No","No","No","Both","Republican",0
"83","Biden","Yes","Yes","Yes","No","Yes","No","No","No","Both","Democrat",1
"84","Biden","Yes","Yes","Yes","Yes","Yes","No","No","No","Both","Democrat",1
"85","Biden","No","Yes","Yes","No","No","Yes","No","No","Both","Democrat",1
"86","Biden","No","Yes","Yes","No","No","Yes","No","No","Both","Democrat",1
"87","Biden","No","No","No","No","No","No","Yes","No","National Newscast","Democrat",1
"88","Biden","No","Yes","No","Yes","Yes","No","No","No","Both","Democrat",1
"89","Biden","Yes","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"90","Biden","Yes","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"91","Trump","Yes","Yes","Yes","No","Yes","No","No","No","Both","Independent",0
"92","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"93","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"94","Biden","No","Yes","Yes","No","No","No","Yes","No","National Newscast","Democrat",1
"95","Trump","No","Yes","No","No","Yes","No","No","No","Both","Republican",0
"96","Trump","Yes","Yes","Yes","No","Yes","No","No","No","Both","Other",0
"97","Trump","No","No","Yes","No","No","No","No","No","Both","Independent",0
"98","Trump","Yes","Yes","No","No","No","No","No","No","Both","Republican",0
"99","Trump","No","No","No","No","No","No","No","Yes","National Newscast","Independent",0
"100","Biden","No","No","No","No","No","Yes","No","No","Both","Democrat",1
"101","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"102","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"103","Trump","Yes","Yes","No","No","Yes","No","No","No","Both","Independent",0
"104","Biden","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Both","Independent",1
"105","Trump","Yes","Yes","Yes","Yes","Yes","No","No","No","National Newscast","Republican",0
"106","Trump","Yes","No","No","No","No","No","No","No","National Newscast","Independent",0
"107","Trump","Yes","No","No","No","Yes","No","No","No","Both","Republican",0
"108","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"109","Biden","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Both","Independent",1
"110","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"111","Biden","Yes","No","Yes","No","No","Yes","Yes","No","National Newscast","Democrat",1
"112","Biden","Yes","No","No","Yes","No","No","No","No","Both","Democrat",1
"113","Trump","No","Yes","No","No","Yes","No","No","No","Both","Republican",0
"114","Biden","Yes","No","Yes","No","No","No","No","Yes","Both","Independent",1
"115","Biden","No","Yes","No","Yes","No","Yes","No","No","Both","Democrat",1
"116","Biden","Yes","Yes","Yes","No","No","No","Yes","No","Both","Independent",1
"117","Biden","No","No","No","Yes","No","No","No","No","Both","Democrat",1
"118","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"119","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
